Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
GV-5260FA-C-HQ: AB02011GV-5260FA-M-GL: AB02012,GV-5260FA,FA,GigE,CMOS,Sony,46.0 fps,1920 x 1200,11.250 mm x 7.030 mm,Global Shutter,"1/1.2""",2.30 MPix,5.9 µm,IP65/67,GV-5260FA-C-HQGV-5260FA-M-GL
UI-5260SE-C-HQ Rev.4: AB00997UI-5260SE-M-GL Rev.4: AB00998,UI-5260SE Rev. 4,SE,GigE,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,IP30,UI-5260SE-C-HQ Rev.4UI-5260SE-M-GL Rev.4
GV-5260SE-M-GL: AB02006GV-5260SE-C-HQ: AB02005,GV-5260SE,SE,GigE,CMOS,Sony,46.0 fps,1920 x 1200,11.250 mm x 7.030 mm,Global Shutter,"1/1.2""",2.30 MPix,5.9 µm,IP30,GV-5260SE-M-GLGV-5260SE-C-HQ
UI-5261SE-C-HQ Rev.4: AB00999UI-5261SE-M-GL Rev.4: AB02000,UI-5261SE Rev. 4,SE,GigE,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,No,UI-5261SE-C-HQ Rev.4UI-5261SE-M-GL Rev.4
GV-5261SE-C-HQ: AB02007GV-5261SE-M-GL: AB02008,GV-5261SE,SE,GigE,CMOS,Sony,46.0 fps,1920 x 1200,11.250 mm x 7.030 mm,Global Shutter,"1/1.2""",2.30 MPix,5.9 µm,No,GV-5261SE-C-HQGV-5261SE-M-GL
UI-5262SE-C Rev.4: AB02001UI-5262SE-M Rev.4: AB02002,UI-5262SE Rev. 4,SE,GigE,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,No,UI-5262SE-C Rev.4UI-5262SE-M Rev.4
GV-5262SE-C: AB02009GV-5262SE-M: AB02010,GV-5262SE,SE,GigE,CMOS,Sony,46.0 fps,1920 x 1200,11.250 mm x 7.030 mm,Global Shutter,"1/1.2""",2.30 MPix,5.9 µm,No,GV-5262SE-CGV-5262SE-M
UI-5270CP-C-HQ Rev.2: AB02036UI-5270CP-M-GL Rev.2: AB02037,UI-5270CP Rev. 2,CP,GigE,CMOS,Sony,36.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,UI-5270CP-C-HQ Rev.2UI-5270CP-M-GL Rev.2
GV-5270CP-M-GL: AB02022GV-5270CP-C-HQ: AB02021,GV-5270CP,CP,GigE,CMOS,Sony,34.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,GV-5270CP-M-GLGV-5270CP-C-HQ
UI-5270FA-C-HQ: AB02048UI-5270FA-M-GL: AB02049,UI-5270FA,FA,GigE,CMOS,Sony,36.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP65/67,UI-5270FA-C-HQUI-5270FA-M-GL
GV-5270FA-C-HQ: AB02119GV-5270FA-M-GL: AB02120,GV-5270FA,FA,GigE,CMOS,Sony,34.0 fps,2048 x 1536,7.065 mm x 5.300 mm,Global Shutter,"1/1.8""",3.15 MPix,3.5 µm,IP65/67,GV-5270FA-C-HQGV-5270FA-M-GL
UI-5270SE-C-HQ Rev.4: AB02067UI-5270SE-M-GL Rev.4: AB02068,UI-5270SE Rev. 4,SE,GigE,CMOS,Sony,36.0 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,UI-5270SE-C-HQ Rev.4UI-5270SE-M-GL Rev.4
GV-5270SE-C-HQ: AB02149GV-5270SE-M-GL: AB02150,GV-5270SE,SE,GigE,CMOS,Sony,22.0 fps,2048 x 1536,7.065 mm x 5.300 mm,Global Shutter,"1/1.8""",3.15 MPix,3.5 µm,IP30,GV-5270SE-C-HQGV-5270SE-M-GL
