Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
GV-5040CP-C-HQ: AB02611GV-5040CP-M-GL: AB02612,GV-5040CP,CP,GigE,CMOS,Sony,76.0 fps,1456 x 1088,5.023 mm x 3.753 mm,Global Shutter,"1/3""",1.58 MPix,3.5 µm,IP30,GV-5040CP-C-HQGV-5040CP-M-GL
UI-3370SE-C-HQ: AB02632UI-3370SE-M-GL: AB02633,UI-3370SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,IP30,UI-3370SE-C-HQUI-3370SE-M-GL
UI-3371SE-C-HQ: AB02634UI-3371SE-M-GL: AB02635,UI-3371SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,No,UI-3371SE-C-HQUI-3371SE-M-GL
UI-3372SE-C: AB02630UI-3372SE-M: AB02631,UI-3372SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,No,UI-3372SE-CUI-3372SE-M
AB.0010.1.50600.23,UI-1120SE,SE,USB 2.0,CMOS,NIT,50.0 fps,768 x 576,7.680 mm x 5.760 mm,Rolling Shutter,"1/1.8""",0.44 MPix,10 µm,IP30,UI-1120SE-M-GL
UI-1220LE-C-HQ: AB.0010.1.22400.00UI-1220LE-M-GL: AB.0010.1.25600.23,UI-1220LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-1220LE-C-HQUI-1220LE-M-GL
UI-1220SE-C-HQ: AB.0010.1.09610.24UI-1220SE-M-GL: AB.0010.1.10610.13,UI-1220SE,SE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-1220SE-C-HQUI-1220SE-M-GL
UI-1221LE-C-HQ: AB.0010.1.22500.00UI-1221LE-M-GL: AB.0010.1.25700.23,UI-1221LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,No,UI-1221LE-C-HQUI-1221LE-M-GL
UI-1222LE-C: AB.0010.1.25500.00UI-1222LE-M: AB.0010.1.25900.00,UI-1222LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,No,UI-1222LE-CUI-1222LE-M
UI-1240LE-C-HQ: AB.0010.1.47800.24UI-1240LE-M-GL: AB.0010.1.47900.23UI-1240LE-NIR-GL: AB00189,UI-1240LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240LE-C-HQUI-1240LE-M-GLUI-1240LE-NIR-GL
UI-1240ML-C-HQ: AB00182UI-1240ML-M-GL: AB00183UI-1240ML-NIR-GL: AB00184,UI-1240ML,ML,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240ML-C-HQUI-1240ML-M-GLUI-1240ML-NIR-GL
UI-1240SE-C-HQ: AB.0010.1.46400.24UI-1240SE-M-GL: AB.0010.1.46500.23UI-1240SE-NIR-GL: AB00080,UI-1240SE,SE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240SE-C-HQUI-1240SE-M-GLUI-1240SE-NIR-GL
UI-1241LE-C-HQ: AB.0010.1.48000.24UI-1241LE-M-GL: AB.0010.1.48100.23UI-1241LE-NIR-GL: AB00190,UI-1241LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-1241LE-C-HQUI-1241LE-M-GLUI-1241LE-NIR-GL
UI-1242LE-C: AB.0010.1.48400.24UI-1242LE-M: AB.0010.1.48500.23UI-1242LE-NIR: AB00191,UI-1242LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-1242LE-CUI-1242LE-MUI-1242LE-NIR
UI-1250LE-C-HQ: AB00353UI-1250LE-M-GL: AB00354,UI-1250LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250LE-C-HQUI-1250LE-M-GL
UI-1250ML-C-HQ: AB00330UI-1250ML-M-GL: AB00331,UI-1250ML,ML,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250ML-C-HQUI-1250ML-M-GL
UI-1250SE-C-HQ: AB00332UI-1250SE-M-GL: AB00253,UI-1250SE,SE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250SE-C-HQUI-1250SE-M-GL
UI-1251LE-C-HQ: AB00333UI-1251LE-M-GL: AB00334,UI-1251LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-1251LE-C-HQUI-1251LE-M-GL
UI-1252LE-C: AB00335UI-1252LE-M: AB00336,UI-1252LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-1252LE-CUI-1252LE-M
AB.0010.1.27200.00,UI-1460LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP30,UI-1460LE-C-HQ
AB.0010.1.09510.24,UI-1460SE,SE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP30,UI-1460SE-C-HQ
AB.0010.1.27300.00,UI-1461LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,No,UI-1461LE-C-HQ
AB.0010.1.27500.00,UI-1462LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,No,UI-1462LE-C
AB.0010.1.34200.23,UI-1480LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1480LE-M-GL
AB.0010.1.33600.23,UI-1480SE,SE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1480SE-M-GL
AB.0010.1.34300.23,UI-1481LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-1481LE-M-GL
AB.0010.1.34500.00,UI-1482LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-1482LE-M
UI-1490LE-C-HQ: AB.0010.1.45300.24UI-1490LE-M-GL: AB.0010.1.52200.23,UI-1490LE,LE,USB 2.0,CMOS,ON Semiconductor,3.2 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,IP30,UI-1490LE-C-HQUI-1490LE-M-GL
UI-1490SE-C-HQ: AB.0010.1.41600.24UI-1490SE-M-GL: AB.0010.1.52500.23,UI-1490SE,SE,USB 2.0,CMOS,ON Semiconductor,3.2 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,IP30,UI-1490SE-C-HQUI-1490SE-M-GL
UI-1491LE-C-HQ: AB.0010.1.45400.24UI-1491LE-M-GL: AB.0010.1.52300.23,UI-1491LE,LE,USB 2.0,CMOS,ON Semiconductor,3.2 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,No,UI-1491LE-C-HQUI-1491LE-M-GL
UI-1492LE-C: AB.0010.1.45600.00UI-1492LE-M: AB.0010.1.52400.00,UI-1492LE,LE,USB 2.0,CMOS,ON Semiconductor,3.2 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,No,UI-1492LE-CUI-1492LE-M
AB.0010.1.26400.23,UI-1540LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,IP30,UI-1540LE-M-GL
AB.0010.1.10510.23,UI-1540SE,SE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,IP30,UI-1540SE-M-GL
AB.0010.1.26500.23,UI-1541LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,No,UI-1541LE-M-GL
AB.0010.1.26700.00,UI-1542LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,No,UI-1542LE-M
AB.0010.1.28600.00,UI-1550LE,LE,USB 2.0,CMOS,ON Semiconductor,18.3 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,IP30,UI-1550LE-C-HQ
AB.0010.1.33000.00,UI-1550SE,SE,USB 2.0,CMOS,ON Semiconductor,18.3 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,IP30,UI-1550SE-C-HQ
AB.0010.1.28700.00,UI-1551LE,LE,USB 2.0,CMOS,ON Semiconductor,18.3 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,No,UI-1551LE-C-HQ
Error 'Frame rate' occurred
AB.0010.1.28800.00,UI-1552LE,LE,USB 2.0,CMOS,ON Semiconductor,18.3 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,No,UI-1552LE-C
Error 'Frame rate' occurred
AB00087,UI-1580LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1580LE-C-HQ
AB00088,UI-1580SE,SE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1580SE-C-HQ
AB00149,UI-1581LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-1581LE-C-HQ
AB00255,UI-1582LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-1582LE-C
AB.0010.1.28000.00,UI-1640LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,4.608 mm x 3.686 mm,Rolling Shutter,"1/3""",1.31 MPix,3.6 µm,IP30,UI-1640LE-C-HQ
AB.0010.1.32900.00,UI-1640SE,SE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,4.608 mm x 3.686 mm,Rolling Shutter,"1/3""",1.31 MPix,3.6 µm,IP30,UI-1640SE-C-HQ
AB.0010.1.28100.00,UI-1641LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,4.608 mm x 3.686 mm,Rolling Shutter,"1/3""",1.31 MPix,3.6 µm,No,UI-1641LE-C-HQ
AB.0010.1.28200.00,UI-1642LE,LE,USB 2.0,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,4.608 mm x 3.686 mm,Rolling Shutter,"1/3""",1.31 MPix,3.6 µm,No,UI-1642LE-C
UI-3000SE-C-HQ: AB02361UI-3000SE-M-GL: AB02362,UI-3000SE,SE,USB 3.1 Gen. 1,CMOS,Sony,31.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,IP30,UI-3000SE-C-HQUI-3000SE-M-GL
UI-3001SE-C-HQ: AB02363UI-3001SE-M-GL: AB02364,UI-3001SE,SE,USB 3.1 Gen. 1,CMOS,Sony,31.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,No,UI-3001SE-C-HQUI-3001SE-M-GL
UI-3002SE-C: AB02365UI-3002SE-M: AB02366,UI-3002SE,SE,USB 3.1 Gen. 1,CMOS,Sony,31.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,No,UI-3002SE-CUI-3002SE-M
AB00582,UI-3013XC,XC,USB 3.0,CMOS,Sony,1.0 fps,4192 x 3104,5.900 mm x 4.400 mm,Rolling Shutter,"1/2.45""",13.01 MPix,1.4 µm,IP30,UI-3013XC-C
Error 'Frame rate' occurred
Error 'Item number' occurred
UI-3060CP-C-HQ Rev.2: AB00605UI-3060CP-M-GL Rev.2: AB00604,UI-3060CP Rev. 2,CP,USB 3.0,CMOS,Sony,166 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,IP30,UI-3060CP-C-HQ Rev.2UI-3060CP-M-GL Rev.2
UI-3070CP-C-HQ Rev.2: AB00968UI-3070CP-M-GL Rev.2: AB00967,UI-3070CP Rev. 2,CP,USB 3.0,CMOS,Sony,123 fps,2056 x 1542,7.093 mm x 5.320 mm,Global Shutter,"1/1.8""",3.17 MPix,3.5 µm,IP30,UI-3070CP-C-HQ Rev.2UI-3070CP-M-GL Rev.2
UI-3080CP-C-HQ Rev.2: AB00849UI-3080CP-M-GL Rev.2: AB00848,UI-3080CP Rev. 2,CP,USB 3.0,CMOS,Sony,77.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-3080CP-C-HQ Rev.2UI-3080CP-M-GL Rev.2
UI-3080SE-C-HQ: AB00985UI-3080SE-M-GL: AB00986,UI-3080SE,SE,USB 3.1 Gen. 1,CMOS,Sony,77.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,IP30,UI-3080SE-C-HQUI-3080SE-M-GL
UI-3081SE-C-HQ: AB00987UI-3081SE-M-GL: AB00988,UI-3081SE,SE,USB 3.1 Gen. 1,CMOS,Sony,77.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-3081SE-C-HQUI-3081SE-M-GL
UI-3082SE-C: AB00989UI-3082SE-M: AB00990,UI-3082SE,SE,USB 3.1 Gen. 1,CMOS,Sony,77.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-3082SE-CUI-3082SE-M
UI-3090SE-C-HQ: AB02271UI-3090SE-M-GL: AB02272,UI-3090SE,SE,USB 3.1 Gen. 1,CMOS,Sony,40.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,IP30,UI-3090SE-C-HQUI-3090SE-M-GL
UI-3091SE-C-HQ: AB02273UI-3091SE-M-GL: AB02274,UI-3091SE,SE,USB 3.1 Gen. 1,CMOS,Sony,40.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,No,UI-3091SE-C-HQUI-3091SE-M-GL
Error 'Item number' occurred
UI-3130CP-C-HQ Rev.2: AB00690UI-3130CP-M-GL Rev.2: AB00689,UI-3130CP Rev. 2,CP,USB 3.0,CMOS,ON Semiconductor,575 fps,800 x 600,3.840 mm x 2.880 mm,Global Shutter,"1/3.6""",0.48 MPix,4.8 µm,IP30,UI-3130CP-C-HQ Rev.2UI-3130CP-M-GL Rev.2
UI-3130LE-C-HQ: AB00892UI-3130LE-M-GL: AB00893,UI-3130LE,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,IP30,UI-3130LE-C-HQUI-3130LE-M-GL
UI-3131LE-C-HQ: AB00894UI-3131LE-M-GL: AB00895,UI-3131LE,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3131LE-C-HQUI-3131LE-M-GL
UI-3131LE-C-HQ-VU: AB02195UI-3131LE-M-GL-VU: AB02196,UI-3131LE VU,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3131LE-C-HQ-VUUI-3131LE-M-GL-VU
UI-3132LE-C: AB00896UI-3132LE-M: AB00897,UI-3132LE,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3132LE-CUI-3132LE-M
UI-3132LE-C-VU: AB02197UI-3132LE-M-VU: AB02198,UI-3132LE VU,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3132LE-C-VUUI-3132LE-M-VU
UI-3134LE-C-HQ: AB02073UI-3134LE-M-GL: AB02074,UI-3134LE,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3134LE-C-HQUI-3134LE-M-GL
UI-3134LE-C-HQ-VU: AB02199UI-3134LE-M-GL-VU: AB02200,UI-3134LE VU,LE,USB 3.1 Gen. 1,CMOS,ON Semiconductor,135 fps,808 x 608,3.875 mm x 2.915 mm,Global Shutter,"1/3.6""",0.49 MPix,4.8 µm,No,UI-3134LE-C-HQ-VUUI-3134LE-M-GL-VU
UI-3140CP-C-HQ Rev.2: AB00614UI-3140CP-M-GL Rev.2: AB00613,UI-3140CP Rev. 2,CP,USB 3.0,CMOS,ON Semiconductor,224 fps,1280 x 1024,6.144 mm x 4.915 mm,Global Shutter,"1/2""",1.31 MPix,4.8 µm,IP30,UI-3140CP-C-HQ Rev.2UI-3140CP-M-GL Rev.2
UI-3160CP-C-HQ Rev.2.1: AB02543UI-3160CP-M-GL Rev.2.1: AB02544,UI-3160CP Rev. 2.1,CP,USB 3.0,CMOS,ON Semiconductor,169 fps,1920 x 1200,9.216 mm x 5.760 mm,Global Shutter,"2/3""",2.30 MPix,4.8 µm,IP30,UI-3160CP-C-HQ Rev.2.1UI-3160CP-M-GL Rev.2.1
UI-3180CP-C-HQ Rev.2.1: AB02545UI-3180CP-M-GL Rev.2.1: AB02546,UI-3180CP Rev. 2.1,CP,USB 3.0,CMOS,ON Semiconductor,73.0 fps,2592 x 2048,12.441 mm x 9.830 mm,Global Shutter,"1""",5.31 MPix,4.8 µm,IP30,UI-3180CP-C-HQ Rev.2.1UI-3180CP-M-GL Rev.2.1
UI-3200SE-C-HQ: AB02348UI-3200SE-M-GL: AB02349,UI-3200SE,SE,USB 3.1 Gen. 1,CMOS,Sony,24.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,IP30,UI-3200SE-C-HQUI-3200SE-M-GL
UI-3201SE-C-HQ: AB02350UI-3201SE-M-GL: AB02351,UI-3201SE,SE,USB 3.1 Gen. 1,CMOS,Sony,24.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,No,UI-3201SE-C-HQUI-3201SE-M-GL
UI-3202SE-C: AB02352UI-3202SE-M: AB02353,UI-3202SE,SE,USB 3.1 Gen. 1,CMOS,Sony,24.0 fps,4104 x 3006,14.158 mm x 10.370 mm,Global Shutter,"1.1""",12.34 MPix,3.5 µm,No,UI-3202SE-CUI-3202SE-M
UI-3220CP-C-HQ: AB00038UI-3220CP-M-GL: AB00039,UI-3220CP,CP,USB 3.0,CMOS,ON Semiconductor,100 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-3220CP-C-HQUI-3220CP-M-GL
UI-3240CP-C-HQ Rev.2: AB00514UI-3240CP-M-GL Rev.2: AB00515UI-3240CP-NIR-GL Rev.2: AB00615,UI-3240CP Rev. 2,CP,USB 3.0,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-3240CP-C-HQ Rev.2UI-3240CP-M-GL Rev.2UI-3240CP-NIR-GL Rev.2
UI-3240LE-C-HQ: AB00425UI-3240LE-M-GL: AB00426UI-3240LE-NIR-GL: AB00427,UI-3240LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-3240LE-C-HQUI-3240LE-M-GLUI-3240LE-NIR-GL
U3-3240LE-C-HQ: AB00558U3-3240LE-M-GL: AB00559U3-3240LE-NIR-GL: AB00560,U3-3240LE,LE,USB 3.0,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,Global Shutter,"1/1.8""",1.31 MPix,5.3 µm,IP30,U3-3240LE-C-HQU3-3240LE-M-GLU3-3240LE-NIR-GL
UI-3240ML-C-HQ: AB00440UI-3240ML-M-GL: AB00441UI-3240ML-NIR-GL: AB00442,UI-3240ML,ML,USB 3.0,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-3240ML-C-HQUI-3240ML-M-GLUI-3240ML-NIR-GL
U3-3240ML-C-HQ: AB00567U3-3240ML-M-GL: AB00568U3-3240ML-NIR-GL: AB00569,U3-3240ML,ML,USB 3.0,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,Global Shutter,"1/1.8""",1.31 MPix,5.3 µm,IP30,U3-3240ML-C-HQU3-3240ML-M-GLU3-3240ML-NIR-GL
UI-3241LE-C-HQ: AB00430UI-3241LE-M-GL: AB00431UI-3241LE-NIR-GL: AB00432,UI-3241LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-3241LE-C-HQUI-3241LE-M-GLUI-3241LE-NIR-GL
U3-3241LE-C-HQ: AB00561U3-3241LE-M-GL: AB00562U3-3241LE-NIR-GL: AB00563,U3-3241LE,LE,USB 3.0,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,Global Shutter,"1/1.8""",1.31 MPix,5.3 µm,No,U3-3241LE-C-HQU3-3241LE-M-GLU3-3241LE-NIR-GL
UI-3242LE-C: AB00435UI-3242LE-M: AB00436UI-3242LE-NIR: AB00437,UI-3242LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-3242LE-CUI-3242LE-MUI-3242LE-NIR
U3-3242LE-C: AB00564U3-3242LE-M: AB00565U3-3242LE-NIR: AB00566,U3-3242LE,LE,USB 3.0,CMOS,e2v,59.0 fps,1280 x 1024,6.784 mm x 5.427 mm,Global Shutter,"1/1.8""",1.31 MPix,5.3 µm,No,U3-3242LE-CU3-3242LE-MU3-3242LE-NIR
UI-3250CP-C-HQ Rev.2: AB00617UI-3250CP-M-GL Rev.2: AB00616,UI-3250CP Rev. 2,CP,USB 3.0,CMOS,e2v,60.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-3250CP-C-HQ Rev.2UI-3250CP-M-GL Rev.2
UI-3250LE-C-HQ: AB00428UI-3250LE-M-GL: AB00429,UI-3250LE,LE,USB 3.0,CMOS,e2v,60.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-3250LE-C-HQUI-3250LE-M-GL
U3-3250LE-C-HQ: AB00656U3-3250LE-M-GL: AB00657,U3-3250LE,LE,USB 3.0,CMOS,e2v,40.0 fps,1600 x 1200,7.200 mm x 5.400 mm,Global Shutter,"1/1.8""",1.92 MPix,4.5 µm,IP30,U3-3250LE-C-HQU3-3250LE-M-GL
UI-3250ML-C-HQ: AB00443UI-3250ML-M-GL: AB00444,UI-3250ML,ML,USB 3.0,CMOS,e2v,60.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-3250ML-C-HQUI-3250ML-M-GL
U3-3250ML-C-HQ: AB00668U3-3250ML-M-GL: AB00669,U3-3250ML,ML,USB 3.0,CMOS,e2v,40.0 fps,1600 x 1200,7.200 mm x 5.400 mm,Global Shutter,"1/1.8""",1.92 MPix,4.5 µm,IP30,U3-3250ML-C-HQU3-3250ML-M-GL
